kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,Rock Gurnard,Trigloporus lastoviza,Unknown,Global,Least Concern
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — actinopterygii,Couch's Goby,Gobius couchi,Unknown,"Global, Europe",Least Concern
animalia — chondrichthyes,Angular Roughshark,Oxynotus centrina,Unknown,Global,Vulnerable
animalia — insecta,Small Bluetail,Ischnura pumilio,Stable,Global,Least Concern
animalia — insecta,,Lestes macrostigma,Decreasing,Global,Least Concern
animalia — insecta,Southern Darter,Sympetrum meridionale,Stable,Global,Least Concern
animalia — actinopterygii,Red Scorpionfish,Scorpaena notata,Unknown,Global,Least Concern
animalia — actinopterygii,Piper,Trigla lyra,Unknown,Global,Least Concern
animalia — actinopterygii,Black-faced Blenny,Tripterygion delaisi,Stable,Global,Least Concern
animalia — actinopterygii,Striped Seabream,Lithognathus mormyrus,Stable,Global,Least Concern
animalia — actinopterygii,Blennie Diabolo,Parablennius incognitus,Stable,Global,Least Concern
animalia — insecta,,Stenopterus similatus,Unknown,"Global, Europe",Data Deficient
animalia — gastropoda,,Conus ventricosus,Unknown,Global,Least Concern
animalia — reptilia,Coin-marked Snake,Hemorrhois nummifer,Unknown,Global,Least Concern
animalia — actinopterygii,Sharpsnout Seabream,Diplodus puntazzo,Unknown,Global,Least Concern
animalia — actinopterygii,,Gonostoma denudatum,Unknown,Global,Least Concern
animalia — aves,Stock Dove,Columba oenas,Increasing,Global,Least Concern
animalia — aves,Alpine Swift,Tachymarptis melba,Stable,Global,Least Concern
animalia — aves,Spur-winged Lapwing,Vanellus spinosus,Increasing,Global,Least Concern
animalia — aves,Jack Snipe,Lymnocryptes minimus,Stable,Global,Least Concern
animalia — aves,Spotted Redshank,Tringa erythropus,Stable,Global,Least Concern
animalia — aves,Marsh Sandpiper,Tringa stagnatilis,Decreasing,Global,Least Concern
animalia — aves,Wood Warbler,Phylloscopus sibilatrix,Decreasing,Global,Least Concern
animalia — aves,Bearded Reedling,Panurus biarmicus,Unknown,Global,Least Concern
animalia — aves,Rosy Starling,Pastor roseus,Unknown,Global,Least Concern
animalia — aves,Pied Wheatear,Oenanthe pleschanka,Stable,Global,Least Concern
animalia — insecta,,Pedostrangalia raggii,Stable,"Global, Europe, Mediterranean",Least Concern
animalia — aves,Eurasian Blackcap,Sylvia atricapilla,Increasing,Global,Least Concern
animalia — aves,Yellowhammer,Emberiza citrinella,Decreasing,Global,Least Concern
animalia — aves,Black-headed Bunting,Emberiza melanocephala,Unknown,Global,Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — actinopterygii,Painted Comber,Serranus scriba,Stable,Global,Least Concern
animalia — actinopterygii,White Seabream,Diplodus sargus,Unknown,Global,Least Concern
animalia — insecta,Cyprian Red-headed Bush-cricket,Bucephaloptera cypria,Decreasing,"Global, Europe, Mediterranean",Endangered
animalia — insecta,Cone-headed Grasshopper,Acrida ungarica,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,Ocellated Wrasse,Symphodus ocellatus,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,,Symphodus rostratus,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,Black-headed Blenny,Microlipophrys nigriceps,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — actinopterygii,Long-snouted Seahorse,Hippocampus guttulatus,Unknown,Global,Data Deficient
animalia — insecta,Cyprian Stick Grasshopper,Pyrgomorpha cypria,Stable,"Global, Europe, Mediterranean",Least Concern
animalia — aves,Mute Swan,Cygnus olor,Increasing,Global,Least Concern
animalia — aves,Common Crane,Grus grus,Increasing,Global,Least Concern
animalia — aves,Eurasian Bittern,Botaurus stellaris,Decreasing,Global,Least Concern
animalia — insecta,European Dwarf Mantis,Ameles spallanzania,Unknown,Global,Least Concern
animalia — insecta,Devil's Mare,Empusa fasciata,Unknown,Global,Data Deficient
animalia — insecta,Mediterranean Mantis,Iris oratoria,Unknown,Global,Least Concern
animalia — actinopterygii,Black Goby,Gobius niger,Stable,Global,Least Concern
animalia — aves,Woodchat Shrike,Lanius senator,Decreasing,Global,Least Concern
animalia — aves,Rook,Corvus frugilegus,Decreasing,Global,Least Concern
animalia — chondrichthyes,Rabbitfish,Chimaera monstrosa,Decreasing,Global,Vulnerable
animalia — aves,Carrion Crow,Corvus corone,Increasing,Global,Least Concern
animalia — actinopterygii,Dusky Grouper,Epinephelus marginatus,Decreasing,Global,Vulnerable
animalia — aves,Scopoli's Shearwater,Calonectris diomedea,Decreasing,Global,Least Concern
animalia — aves,Common Kestrel,Falco tinnunculus,Decreasing,Global,Least Concern
animalia — aves,Ortolan Bunting,Emberiza hortulana,Decreasing,Global,Least Concern
animalia — aves,Eurasian Treecreeper,Certhia familiaris,Stable,Global,Least Concern
animalia — aves,Grey Wagtail,Motacilla cinerea,Stable,Global,Least Concern
animalia — aves,Black Stork,Ciconia nigra,Unknown,Global,Least Concern
animalia — aves,Common Nightingale,Luscinia megarhynchos,Stable,Global,Least Concern
