kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — insecta,,Hipparchia gomera,Stable,"Global, Europe",Least Concern
animalia — insecta,,Cyclyrius webbianus,Stable,"Global, Europe",Least Concern
animalia — insecta,,Erebia pronoe,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Plebejus glandon,Stable,"Global, Europe",Least Concern
animalia — insecta,,Polyommatus nivescens,Stable,"Global, Europe",Near Threatened
animalia — insecta,de Prunner’s Ringlet,Erebia triaria,Stable,"Global, Europe",Least Concern
animalia — insecta,Baton Blue,Pseudophilotes baton,Decreasing,"Global, Europe",Least Concern
animalia — insecta,Spring Ringlet,Erebia epistygne,Decreasing,"Global, Europe",Near Threatened
animalia — insecta,,Euchloe simplonia,Stable,"Global, Europe",Least Concern
animalia — gastropoda,,Oestophora ebria,Unknown,"Global, Europe",Near Threatened
animalia — bivalvia,,Unio delphinus,Decreasing,"Global, Europe",Near Threatened
animalia — myxini,Atlantic Hagfish,Myxine glutinosa,Unknown,Global,Least Concern
animalia — gastropoda,,Xerocrassa montserratensis,Decreasing,"Global, Europe, Mediterranean",Endangered
animalia — gastropoda,Cabrilla de Sierra,Iberus marmoratus,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — gastropoda,Lapidary Snail,Helicigona lapicida,Stable,"Global, Europe",Least Concern
animalia — gastropoda,,Chondrina gasulli,Decreasing,"Global, Europe, Mediterranean",Vulnerable
animalia — gastropoda,Moss Chrysalis Snail,Pupilla muscorum,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Scobicia barbifrons,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Clytus tropicus,Unknown,"Global, Europe",Least Concern
animalia — actinopterygii,Rock Gurnard,Trigloporus lastoviza,Unknown,Global,Least Concern
animalia — gastropoda,,Hatumia cobosi,Unknown,"Global, Europe, Mediterranean",Vulnerable
animalia — insecta,,Rosalia alpina,,Global,Vulnerable
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — actinopterygii,Dealfish,Trachipterus arcticus,Unknown,Global,Least Concern
animalia — mammalia,Nathusius' Pipistrelle,Pipistrellus nathusii,Unknown,Global,Least Concern
animalia — actinopterygii,Leopard-spotted Goby,Thorogobius ephippiatus,Stable,"Global, Europe",Least Concern
animalia — insecta,Ashton's Cuckoo Bumblebee,Bombus bohemicus,Decreasing,Global,Data Deficient
animalia — actinopterygii,Baetic killifish,Aphanius baeticus,Decreasing,"Global, Europe",Endangered
animalia — reptilia,,Natrix maura,Decreasing,Global,Least Concern
animalia — reptilia,,Podarcis carbonelli,Decreasing,"Global, Europe",Endangered
animalia — reptilia,,Podarcis muralis,Stable,Global,Least Concern
animalia — reptilia,,Saurodactylus mauritanicus,Stable,Global,Least Concern
animalia — chondrichthyes,Angular Roughshark,Oxynotus centrina,Unknown,Global,Vulnerable
animalia — gastropoda,,Xerotricha gasulli,Decreasing,"Global, Europe, Mediterranean",Endangered
animalia — gastropoda,,Helicella stiparum,Decreasing,"Global, Europe, Mediterranean",Endangered
animalia — insecta,Desert Darter,Sympetrum sinaiticum,Stable,Global,Least Concern
animalia — insecta,,Pyrgus cirsii,Decreasing,"Global, Europe",Vulnerable
animalia — reptilia,,Iberolacerta bonnali,Stable,"Global, Europe",Near Threatened
animalia — reptilia,La Gomera Giant Lizard,Gallotia bravoana,Increasing,"Global, Europe",Critically Endangered
animalia — reptilia,,Iberolacerta aurelioi,Decreasing,"Global, Europe",Endangered
animalia — reptilia,,Iberolacerta cyreni,Decreasing,"Global, Europe",Endangered
animalia — reptilia,,Vipera aspis,Decreasing,"Global, Europe",Least Concern
animalia — amphibia,Agile Frog,Rana dalmatina,Decreasing,Global,Least Concern
animalia — insecta,,Cucujus cinnaberinus,Increasing,"Global, Europe",Near Threatened
animalia — amphibia,,Ichthyosaura alpestris,Decreasing,"Global, Europe",Least Concern
animalia — actinopterygii,,Astronesthes gemmifer,Unknown,Global,Data Deficient
animalia — actinopterygii,Scaleless Dragonfish,Leptostomias gladiator,Unknown,Global,Least Concern
animalia — actinopterygii,,Chirostomias pliopterus,Unknown,Global,Least Concern
animalia — actinopterygii,Alfonsino,Beryx decadactylus,Unknown,Global,Least Concern
animalia — insecta,Variable Bluet,Coenagrion pulchellum,Stable,Global,Least Concern
animalia — insecta,Small Bluetail,Ischnura pumilio,Stable,Global,Least Concern
animalia — insecta,Common Clubtail,Gomphus vulgatissimus,Stable,Global,Least Concern
animalia — insecta,,Lestes macrostigma,Decreasing,Global,Least Concern
animalia — insecta,Broad-Bodied Chaser,Libellula depressa,Stable,Global,Least Concern
animalia — insecta,Southern Darter,Sympetrum meridionale,Stable,Global,Least Concern
animalia — actinopterygii,Red Scorpionfish,Scorpaena notata,Unknown,Global,Least Concern
animalia — actinopterygii,Piper,Trigla lyra,Unknown,Global,Least Concern
animalia — actinopterygii,Risso's Smooth-head,Alepocephalus rostratus,Stable,Global,Least Concern
animalia — actinopterygii,Black-faced Blenny,Tripterygion delaisi,Stable,Global,Least Concern
animalia — mammalia,Soprano Pipistrelle,Pipistrellus pygmaeus,Unknown,Global,Least Concern
animalia — mammalia,Lesser Noctule,Nyctalus leisleri,Unknown,Global,Least Concern
animalia — mammalia,Western Barbastelle,Barbastella barbastellus,Decreasing,Global,Near Threatened
animalia — mammalia,European Mole,Talpa europaea,Stable,Global,Least Concern
animalia — actinopterygii,Striped Seabream,Lithognathus mormyrus,Stable,Global,Least Concern
animalia — actinopterygii,Blennie Diabolo,Parablennius incognitus,Stable,Global,Least Concern
animalia — actinopterygii,Fangtooth Moray,Enchelycore anatina,Unknown,Global,Least Concern
animalia — gastropoda,,Oestophora ortizi,Unknown,"Global, Europe, Mediterranean",Near Threatened
animalia — gastropoda,,Bithynia leachii,Stable,"Global, Europe, Mediterranean",Least Concern
animalia — gastropoda,,Melanopsis cariosa,Unknown,"Global, Mediterranean",Data Deficient
animalia — actinopterygii,Half-naked Hatchetfish,Argyropelecus hemigymnus,Stable,Global,Least Concern
animalia — gastropoda,,Montserratina martorelli,Unknown,"Global, Europe",Least Concern
animalia — gastropoda,,Allognathus hispanicus,Stable,"Global, Europe",Least Concern
animalia — gastropoda,,Xerocrassa subrogata,Stable,"Global, Europe, Mediterranean",Least Concern
animalia — gastropoda,,Chondrina arigonis,Stable,"Global, Europe, Mediterranean",Near Threatened
animalia — amphibia,European Tree Frog,Hyla arborea,Decreasing,Global,Least Concern
animalia — reptilia,,Lacerta schreiberi,Decreasing,"Global, Europe",Near Threatened
animalia — insecta,,Phengaris teleius,,Global,Near Threatened
animalia — gastropoda,,Conus ventricosus,Unknown,Global,Least Concern
animalia — gastropoda,,Tudorella ferruginea,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,Sharpsnout Seabream,Diplodus puntazzo,Unknown,Global,Least Concern
animalia — actinopterygii,,Gonostoma denudatum,Unknown,Global,Least Concern
animalia — actinopterygii,Black Scabbardfish,Aphanopus carbo,Unknown,Global,Least Concern
animalia — mammalia,Sowerby's Beaked Whale,Mesoplodon bidens,Unknown,Global,Least Concern
animalia — gastropoda,,Hohenwartiana disparata,Stable,"Global, Europe",Least Concern
animalia — insecta,Cuenca Meadow Bush-cricket,Roeseliana oporina,Unknown,"Global, Europe, Mediterranean",Vulnerable
animalia — aves,Stock Dove,Columba oenas,Increasing,Global,Least Concern
animalia — aves,Alpine Swift,Tachymarptis melba,Stable,Global,Least Concern
animalia — reptilia,Western Three-toed Skink,Chalcides striatus,Decreasing,"Global, Europe",Least Concern
animalia — amphibia,Natterjack Toad,Epidalea calamita,Decreasing,"Global, Europe",Least Concern
animalia — aves,Jack Snipe,Lymnocryptes minimus,Stable,Global,Least Concern
animalia — aves,Spotted Redshank,Tringa erythropus,Stable,Global,Least Concern
animalia — aves,Marsh Sandpiper,Tringa stagnatilis,Decreasing,Global,Least Concern
animalia — amphibia,Common Midwife Toad,Alytes obstetricans,Decreasing,"Global, Europe",Least Concern
animalia — aves,Wood Warbler,Phylloscopus sibilatrix,Decreasing,Global,Least Concern
animalia — aves,Bearded Reedling,Panurus biarmicus,Unknown,Global,Least Concern
animalia — aves,Alpine Accentor,Prunella collaris,Stable,Global,Least Concern
animalia — aves,Willow Grouse,Lagopus lagopus,Decreasing,Global,Least Concern
animalia — aves,Red-knobbed Coot,Fulica cristata,Decreasing,Global,Least Concern
animalia — insecta,Ortin's Scale-cricket,Paramogoplistes ortini,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — aves,Eurasian Blackcap,Sylvia atricapilla,Increasing,Global,Least Concern
animalia — insecta,,Stictoleptura palmi,Stable,"Global, Europe",Near Threatened
animalia — aves,Yellowhammer,Emberiza citrinella,Decreasing,Global,Least Concern
animalia — amphibia,,Pelophylax perezi,Decreasing,"Global, Europe",Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — actinopterygii,Painted Comber,Serranus scriba,Stable,Global,Least Concern
animalia — actinopterygii,Smalleye Squaretail,Tetragonurus cuvieri,Stable,Global,Least Concern
animalia — actinopterygii,White Seabream,Diplodus sargus,Unknown,Global,Least Concern
animalia — actinopterygii,Bulbous Dreamer,Oneirodes eschrichtii,Unknown,Global,Least Concern
animalia — insecta,Cone-headed Grasshopper,Acrida ungarica,Stable,"Global, Europe",Least Concern
animalia — insecta,Splendid Rock Grasshopper,Arminda canariensis,Unknown,"Global, Europe",Near Threatened
animalia — insecta,Green Mountain Grasshopper,Miramella alpina,Stable,"Global, Europe",Least Concern
animalia — insecta,Almeria Sand Grasshopper,Sphingonotus almeriense,Decreasing,"Global, Europe, Mediterranean",Endangered
animalia — insecta,Short-tailed Bull Bush-cricket,Polysarcus scutatus,Unknown,"Global, Europe",Endangered
animalia — insecta,Tenerife Green Bush-cricket,Calliphona koenigi,Decreasing,"Global, Europe",Near Threatened
animalia — insecta,Southern Oak Bush-cricket,Meconema meridionale,Unknown,"Global, Europe",Least Concern
animalia — insecta,Raymond's Bush-cricket,Yersinella raymondii,Unknown,"Global, Europe",Least Concern
animalia — insecta,Iberian Band-winged Grasshopper,Oedipoda coerulea,Unknown,"Global, Europe",Least Concern
animalia — insecta,Cantabrian Mountain Grasshopper,Podisma cantabricae,Unknown,"Global, Europe",Near Threatened
animalia — insecta,Azure Sand Grasshopper,Sphingonotus azurescens,Unknown,"Global, Europe",Least Concern
animalia — insecta,Gypsum Sand Grasshopper,Sphingonotus gypsicola,Unknown,"Global, Europe, Mediterranean",Near Threatened
animalia — insecta,,Bombus mendax,Decreasing,"Global, Europe",Near Threatened
animalia — insecta,,Bombus reinigiellus,Decreasing,"Global, Europe",Endangered
animalia — actinopterygii,Ocellated Wrasse,Symphodus ocellatus,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,,Symphodus rostratus,Stable,"Global, Europe",Least Concern
animalia — chondrichthyes,Shagreen Skate,Leucoraja fullonica,Decreasing,"Global, Europe",Vulnerable
animalia — actinopterygii,Splechtna’s Goby,Didogobius splechtnai,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — actinopterygii,Liechtenstein's Goby,Corcyrogobius liechtensteini,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — actinopterygii,Fanfre Noir,Grammonus ater,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — actinopterygii,Black-headed Blenny,Microlipophrys nigriceps,Unknown,"Global, Europe, Mediterranean",Least Concern
