kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — insecta,,Erebia pronoe,Decreasing,"Global, Europe",Least Concern
animalia — insecta,de Prunner’s Ringlet,Erebia triaria,Stable,"Global, Europe",Least Concern
animalia — gastropoda,Moss Chrysalis Snail,Pupilla muscorum,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Clytus tropicus,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Monochamus sartor,Unknown,"Global, Europe",Least Concern
animalia — actinopterygii,Rock Gurnard,Trigloporus lastoviza,Unknown,Global,Least Concern
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — mammalia,Nathusius' Pipistrelle,Pipistrellus nathusii,Unknown,Global,Least Concern
animalia — actinopterygii,Couch's Goby,Gobius couchi,Unknown,"Global, Europe",Least Concern
animalia — actinopterygii,Leopard-spotted Goby,Thorogobius ephippiatus,Stable,"Global, Europe",Least Concern
animalia — reptilia,,Lacerta trilineata,Stable,Global,Least Concern
animalia — reptilia,,Podarcis muralis,Stable,Global,Least Concern
animalia — chondrichthyes,Angular Roughshark,Oxynotus centrina,Unknown,Global,Vulnerable
animalia — insecta,,Melitta tomentosa,Unknown,"Global, Europe",Data Deficient
animalia — insecta,,Lycaena ottomana,Decreasing,Global,Vulnerable
animalia — amphibia,,Bombina variegata,Decreasing,"Global, Europe",Least Concern
animalia — actinopterygii,Croatian dace,Telestes polylepis,Unknown,"Global, Europe",Critically Endangered
animalia — reptilia,,Lacerta viridis,Decreasing,Global,Least Concern
animalia — amphibia,Agile Frog,Rana dalmatina,Decreasing,Global,Least Concern
animalia — insecta,,Cucujus cinnaberinus,Increasing,"Global, Europe",Near Threatened
animalia — amphibia,,Ichthyosaura alpestris,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Nomada verna,Unknown,"Global, Europe",Data Deficient
animalia — insecta,Ornate Bluet,Coenagrion ornatum,Decreasing,Global,Least Concern
animalia — insecta,Variable Bluet,Coenagrion pulchellum,Stable,Global,Least Concern
animalia — insecta,Small Bluetail,Ischnura pumilio,Stable,Global,Least Concern
animalia — insecta,Common Clubtail,Gomphus vulgatissimus,Stable,Global,Least Concern
animalia — insecta,,Lestes macrostigma,Decreasing,Global,Least Concern
animalia — insecta,Broad-Bodied Chaser,Libellula depressa,Stable,Global,Least Concern
animalia — insecta,Southern Darter,Sympetrum meridionale,Stable,Global,Least Concern
animalia — actinopterygii,Red Scorpionfish,Scorpaena notata,Unknown,Global,Least Concern
animalia — actinopterygii,Piper,Trigla lyra,Unknown,Global,Least Concern
animalia — insecta,Long-winged Mountain Grasshopper,Miramella irena,Stable,"Global, Europe",Least Concern
animalia — bivalvia,,Congeria kusceri,Decreasing,"Global, Europe, Mediterranean",Vulnerable
animalia — insecta,,Pieris balcana,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,Black-faced Blenny,Tripterygion delaisi,Stable,Global,Least Concern
animalia — mammalia,Soprano Pipistrelle,Pipistrellus pygmaeus,Unknown,Global,Least Concern
animalia — mammalia,Lesser Noctule,Nyctalus leisleri,Unknown,Global,Least Concern
animalia — mammalia,Western Barbastelle,Barbastella barbastellus,Decreasing,Global,Near Threatened
animalia — mammalia,Particoloured Bat,Vespertilio murinus,Stable,Global,Least Concern
animalia — mammalia,European Mole,Talpa europaea,Stable,Global,Least Concern
animalia — actinopterygii,Striped Seabream,Lithognathus mormyrus,Stable,Global,Least Concern
animalia — actinopterygii,Blennie Diabolo,Parablennius incognitus,Stable,Global,Least Concern
animalia — gastropoda,,Causa holosericea,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,Half-naked Hatchetfish,Argyropelecus hemigymnus,Stable,Global,Least Concern
animalia — amphibia,European Tree Frog,Hyla arborea,Decreasing,Global,Least Concern
animalia — gastropoda,,Conus ventricosus,Unknown,Global,Least Concern
animalia — actinopterygii,Sharpsnout Seabream,Diplodus puntazzo,Unknown,Global,Least Concern
animalia — actinopterygii,,Gonostoma denudatum,Unknown,Global,Least Concern
animalia — aves,Stock Dove,Columba oenas,Increasing,Global,Least Concern
animalia — aves,Alpine Swift,Tachymarptis melba,Stable,Global,Least Concern
animalia — aves,Jack Snipe,Lymnocryptes minimus,Stable,Global,Least Concern
animalia — aves,Spotted Redshank,Tringa erythropus,Stable,Global,Least Concern
animalia — aves,Marsh Sandpiper,Tringa stagnatilis,Decreasing,Global,Least Concern
animalia — aves,Wood Warbler,Phylloscopus sibilatrix,Decreasing,Global,Least Concern
animalia — aves,Bearded Reedling,Panurus biarmicus,Unknown,Global,Least Concern
animalia — aves,Rosy Starling,Pastor roseus,Unknown,Global,Least Concern
animalia — aves,Alpine Accentor,Prunella collaris,Stable,Global,Least Concern
animalia — amphibia,,Rana latastei,Decreasing,"Global, Europe",Vulnerable
animalia — aves,Eurasian Blackcap,Sylvia atricapilla,Increasing,Global,Least Concern
animalia — aves,Yellowhammer,Emberiza citrinella,Decreasing,Global,Least Concern
animalia — aves,Black-headed Bunting,Emberiza melanocephala,Unknown,Global,Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — actinopterygii,Painted Comber,Serranus scriba,Stable,Global,Least Concern
animalia — actinopterygii,White Seabream,Diplodus sargus,Unknown,Global,Least Concern
animalia — insecta,Enlarged Bright Bush-cricket,Poecilimon ampliatus,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — insecta,Neglected Cave-cricket,Troglophilus neglectus,Unknown,"Global, Europe",Least Concern
animalia — insecta,Croatian Meadow Bush-cricket,Bicolorana kraussi,Decreasing,"Global, Europe",Near Threatened
animalia — insecta,Cone-headed Grasshopper,Acrida ungarica,Stable,"Global, Europe",Least Concern
animalia — insecta,Balkan Speckled Bush-cricket,Leptophyes boscii,Decreasing,"Global, Europe",Least Concern
animalia — insecta,Southern Oak Bush-cricket,Meconema meridionale,Unknown,"Global, Europe",Least Concern
animalia — insecta,Raymond's Bush-cricket,Yersinella raymondii,Unknown,"Global, Europe",Least Concern
animalia — actinopterygii,Ocellated Wrasse,Symphodus ocellatus,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,,Symphodus rostratus,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,Gobi de Bath,Pomatoschistus bathi,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,Splechtna’s Goby,Didogobius splechtnai,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — actinopterygii,Liechtenstein's Goby,Corcyrogobius liechtensteini,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — actinopterygii,Fanfre Noir,Grammonus ater,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — actinopterygii,Black-headed Blenny,Microlipophrys nigriceps,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — actinopterygii,Long-snouted Seahorse,Hippocampus guttulatus,Unknown,Global,Data Deficient
animalia — insecta,Fieber's Mountain Grasshopper,Pseudopodisma fieberi,Decreasing,"Global, Europe",Least Concern
animalia — aves,Mute Swan,Cygnus olor,Increasing,Global,Least Concern
animalia — aves,Common Crane,Grus grus,Increasing,Global,Least Concern
animalia — aves,Eurasian Bittern,Botaurus stellaris,Decreasing,Global,Least Concern
animalia — insecta,European Dwarf Mantis,Ameles spallanzania,Unknown,Global,Least Concern
animalia — insecta,Devil's Mare,Empusa fasciata,Unknown,Global,Data Deficient
animalia — insecta,Mediterranean Mantis,Iris oratoria,Unknown,Global,Least Concern
animalia — actinopterygii,Black Goby,Gobius niger,Stable,Global,Least Concern
animalia — anthozoa,,Oculina patagonica,Increasing,"Global, Mediterranean",Least Concern
animalia — mammalia,Bicolored Shrew,Crocidura leucodon,Unknown,Global,Least Concern
animalia — mammalia,Eurasian Pygmy Shrew,Sorex minutus,Stable,Global,Least Concern
animalia — insecta,,Anogcodes fulvicollis,Stable,"Global, Europe",Least Concern
animalia — aves,Common Grasshopper-warbler,Locustella naevia,Stable,Global,Least Concern
animalia — aves,Woodchat Shrike,Lanius senator,Decreasing,Global,Least Concern
animalia — aves,Rook,Corvus frugilegus,Decreasing,Global,Least Concern
animalia — aves,Carrion Crow,Corvus corone,Increasing,Global,Least Concern
animalia — chondrichthyes,Angelshark,Squatina squatina,Decreasing,"Global, Europe",Critically Endangered
animalia — mammalia,Hazel Dormouse,Muscardinus avellanarius,Unknown,Global,Least Concern
animalia — actinopterygii,Dusky Grouper,Epinephelus marginatus,Decreasing,Global,Vulnerable
animalia — aves,Scopoli's Shearwater,Calonectris diomedea,Decreasing,Global,Least Concern
animalia — mammalia,Brown Bear,Ursus arctos,Stable,Global,Least Concern
animalia — aves,Common Kestrel,Falco tinnunculus,Decreasing,Global,Least Concern
animalia — aves,River Warbler,Locustella fluviatilis,Decreasing,Global,Least Concern
animalia — aves,Ortolan Bunting,Emberiza hortulana,Decreasing,Global,Least Concern
